,population,newborn,child_mortality,poverty_percent,poverty_children,poverty_pensioners,poverty_labouring,per_capita_cash_income,real_income,formal_wage_paid,real_pay,disabled_by_age,all_disease,mental_disorder,food_disorder,disease_alco,disease_drug,gross_product,regional_prod,retail_turnover,welfare_expense,housing_constraints,housing_area_per_person,no_improvement_funds,improvement_without_complaints,group_crimes,domestic_violence,foreign_crimes,registered_crimes,crimes_severe,crimes_heavy,crimes_theft,crimes_drugs,ophans,poor_pensioner,unemployment,min_living_cost
Алтайский край,2268179.0,18992.0,88.0,17.5,31.4,9.2,59.4,23864.0,95.5,30072.0,103.8,58729.0,463734.9,5048.8,9385.8,88.1,17.4,291156.9,852443350.24,174321.0,29.7,3.3,18.0,5.8,8.700000000000001,654.0,1747.0,143.0,8182.0,266.0,1408.0,3837.0,697.0,0.21,28.1,3.8,10281.0
Амурская область,772525.0,7343.0,36.0,15.2,38.4,4.7,56.9,35499.0,100.3,52430.0,105.2,23187.0,408636.0,3059.2000000000003,6932.5,113.3,24.4,571362.1,404576467.0,276635.0,21.7,5.9,17.3,7.3,7.8999999999999995,173.0,649.0,43.0,2945.0,123.0,638.0,1161.0,416.0,0.33,29.2,4.1,13071.5
Архангельская область,1069782.0,8487.0,32.0,12.55,28.5,7.2,64.3,34852.0,98.4,52779.0,102.9,25866.0,526120.6,2836.1,6556.2,64.7,9.2,514200.4,664106996.04,280050.0,21.4,2.2,16.9,9.7,7.5,404.0,748.0,22.0,3198.0,154.0,585.0,1584.0,164.0,0.35,13.0,5.4,13421.5
Астраханская область,989430.0,10709.0,46.0,15.6,42.1,5.5,52.4,25199.0,97.1,38885.0,104.5,19243.0,289802.2,2310.9,9497.3,22.2,0.2,526950.9,724597755.8,196096.0,31.4,3.1,19.2,17.7,10.7,473.0,998.0,110.0,3070.0,363.0,410.0,972.0,220.0,0.16,8.2,7.1,10716.25
Белгородская область,1531917.0,12223.0,54.0,7.2,44.8,12.9,42.3,32841.0,98.1,37442.0,104.8,54940.0,379063.69999999995,1836.1999999999998,3535.3,41.3,3.2,646569.0,1948293818.62,259151.0,16.1,2.0,17.8,3.2,7.8999999999999995,448.0,432.0,100.0,2746.0,107.0,357.0,1589.0,228.0,0.08,0.8,3.7,9401.5
Брянская область,1168771.0,9047.0,27.0,13.6,44.8,3.7,51.6,28596.0,96.3,31946.0,102.9,35533.0,388684.1,2463.6,8299.8,82.2,6.1,347204.5,566924480.2,257679.0,23.1,0.6,24.1,0.0,4.8,627.0,650.0,137.0,3197.0,176.0,397.0,1535.0,216.0,0.16,35.2,3.2,11027.25
Владимирская область,1323659.0,9780.0,66.0,12.5,34.8,4.8,60.4,25922.0,98.0,35240.0,103.0,36034.0,476731.5,3452.0,5182.9,66.5,7.8,410443.6,1162651995.94,207670.0,26.0,2.5,16.1,1.7,5.0,330.0,524.0,134.0,3042.0,130.0,516.0,1709.0,214.0,0.15,24.4,2.6,10839.75
Волгоградская область,2449781.0,19555.0,110.0,11.9,46.2,4.0,49.8,24864.0,98.7,35962.0,104.2,60777.0,321712.0,2658.8999999999996,5649.8,55.6,7.7,394256.5,1808536910.22,194191.0,25.1,3.3,17.9,3.3,6.099999999999999,1107.0,1021.0,173.0,6151.0,175.0,933.0,3215.0,375.0,0.06,18.8,3.5,9876.5
Вологодская область,1139499.0,10418.0,55.0,12.8,43.1,2.3,54.6,29522.0,99.6,42775.0,105.4,28151.0,478072.0,2263.6,5678.400000000001,50.1,6.1,544379.2,1554870357.5,208031.0,25.9,2.9,16.9,5.199999999999999,9.7,390.0,639.0,46.0,3282.0,122.0,594.0,1856.0,128.0,0.2,11.0,3.4,11468.75
Воронежская область,2287678.0,18593.0,83.0,8.5,28.5,2.3,69.2,32078.0,95.4,36317.0,103.2,70732.0,261730.90000000002,3868.2,5829.799999999999,73.4,22.5,459629.5,1436533490.8,296665.0,21.6,1.6,19.9,4.0,9.299999999999999,681.0,683.0,233.0,5084.0,167.0,789.0,3007.0,541.0,0.05,32.2,3.5,9144.5
